cgpa,dsa,communication,ml,webdev,cloud,cybersecurity,projects,internships,career
6.77,8,5,6,9,2,7,3,3,Data Scientist
9.27,6,7,1,10,4,1,4,2,Web Developer
9.25,4,9,2,6,7,7,6,1,Data Scientist
8.96,9,9,7,5,1,6,0,2,Software Developer
6.23,5,2,7,3,5,7,13,3,Data Scientist
9.43,9,8,5,8,9,3,19,4,Web Developer
5.26,5,10,3,9,6,8,20,4,Web Developer
9.05,6,4,2,9,8,6,1,2,Cloud Engineer
6.36,9,2,8,4,5,5,18,3,ML Engineer
6.86,2,1,9,10,2,4,13,0,Data Scientist
7.07,1,7,4,6,8,2,13,4,Cloud Engineer
5.47,4,9,5,2,9,10,11,0,Cybersecurity Analyst
5.94,10,10,6,1,7,10,3,4,Cybersecurity Analyst
8.6,10,6,8,6,1,5,6,1,ML Engineer
8.74,2,6,5,5,2,5,7,4,Data Scientist
8.1,8,8,8,9,4,9,0,2,ML Engineer
8.65,5,3,10,3,7,7,10,4,DevOps Engineer
6.11,7,9,6,4,9,10,3,0,Cybersecurity Analyst
8.03,3,10,3,1,4,9,13,3,Cybersecurity Analyst
6.49,9,3,1,3,10,4,18,3,Cloud Engineer
8.24,4,9,7,5,10,5,2,2,Cloud Engineer
8.76,2,10,8,3,9,10,14,4,Cybersecurity Analyst
5.48,4,2,7,7,5,9,11,0,Cybersecurity Analyst
8.06,8,3,6,6,10,9,10,2,Cybersecurity Analyst
6.51,6,7,5,1,1,4,3,3,Data Scientist
7.39,10,7,2,6,5,10,11,2,Cybersecurity Analyst
7.1,9,1,5,8,6,1,0,4,Data Scientist
5.09,2,6,7,7,3,7,5,3,Data Scientist
7.96,5,10,6,6,5,3,0,0,Data Scientist
5.76,8,9,2,6,7,1,6,4,Data Scientist
9.78,9,9,10,6,6,4,10,2,ML Engineer
8.62,7,9,4,10,5,5,18,0,Web Developer
9.96,1,1,8,3,7,1,10,1,DevOps Engineer
6.56,3,8,10,9,1,3,1,5,Web Developer
8.2,2,6,4,10,8,8,7,2,Web Developer
9.79,1,4,8,10,7,1,13,5,DevOps Engineer
6.12,9,10,1,5,8,7,18,0,Cloud Engineer
7.48,7,3,1,4,1,10,4,3,Cybersecurity Analyst
5.24,3,3,4,10,10,10,11,4,Cybersecurity Analyst
7.47,5,5,1,2,8,5,18,4,Cloud Engineer
8.34,6,3,10,6,10,4,8,3,Cloud Engineer
9.14,4,3,9,3,4,2,14,1,Data Scientist
7.43,6,2,10,2,6,4,9,4,Data Scientist
8.01,6,6,2,8,10,3,4,1,Web Developer
9.18,1,9,7,7,5,7,15,5,Mobile App Developer
8.9,5,9,10,2,3,6,19,4,Mobile App Developer
9.66,7,2,3,8,10,1,9,0,Cloud Engineer
9.63,2,10,5,10,8,2,17,0,Web Developer
7.63,10,3,3,4,1,5,10,0,Data Scientist
8.03,1,6,10,1,2,7,0,4,Data Scientist
9.05,10,4,2,9,2,2,10,1,Software Developer
5.74,7,1,5,7,1,1,2,1,Data Scientist
7.75,8,6,6,10,2,6,9,4,Web Developer
6.97,9,6,8,1,9,2,1,5,ML Engineer
9.51,3,5,6,9,9,9,11,2,Cybersecurity Analyst
8.89,3,4,9,5,7,5,7,3,Data Scientist
8.03,10,5,10,10,3,9,2,5,ML Engineer
7.48,5,8,8,1,2,5,17,4,Mobile App Developer
6.73,10,1,6,6,10,7,4,4,Cloud Engineer
5.01,6,8,8,7,3,4,11,4,Mobile App Developer
7.41,7,1,7,1,9,4,10,0,Cloud Engineer
6.52,7,7,3,7,4,8,0,0,Cybersecurity Analyst
6.07,1,5,4,4,1,8,20,1,Cybersecurity Analyst
7.48,2,10,4,1,2,3,6,3,Data Scientist
5.11,6,8,10,4,6,6,18,5,Mobile App Developer
8.84,3,9,10,10,10,7,19,3,Web Developer
5.63,6,8,9,6,10,5,2,4,Cloud Engineer
6.82,1,4,6,10,6,8,12,3,Cybersecurity Analyst
8.5,10,6,2,9,10,10,17,0,Web Developer
7.96,8,2,1,9,7,10,2,4,Cybersecurity Analyst
7.25,4,1,1,2,8,9,17,4,Cybersecurity Analyst
5.55,10,4,3,1,2,6,1,3,Data Scientist
8.77,8,3,8,10,8,2,17,1,ML Engineer
7.01,2,10,3,2,6,8,5,1,Cybersecurity Analyst
8.14,2,9,3,2,6,3,0,4,Data Scientist
6.42,3,2,4,2,9,9,20,2,Cybersecurity Analyst
8.66,4,4,5,3,3,4,12,3,Data Scientist
8.18,2,6,1,1,7,8,1,2,Cybersecurity Analyst
7.41,1,7,9,5,8,8,13,2,Cybersecurity Analyst
7.83,6,8,2,5,3,2,6,3,Data Scientist
5.62,9,6,7,10,7,7,4,3,Web Developer
9.52,3,10,5,8,8,9,12,2,Web Developer
6.16,10,8,4,6,3,3,2,1,Data Scientist
8.03,8,7,5,1,3,8,4,0,Cybersecurity Analyst
5.1,6,1,6,2,9,7,14,3,Cloud Engineer
8.53,2,9,8,9,3,1,19,3,Web Developer
7.9,7,8,7,10,8,3,18,4,Web Developer
7.01,2,9,2,2,4,6,14,5,Mobile App Developer
5.77,10,4,2,6,10,8,20,0,Cybersecurity Analyst
5.7,3,4,2,3,9,9,15,4,Cybersecurity Analyst
7.93,2,6,7,9,5,2,9,1,Web Developer
5.93,7,4,8,5,2,3,4,1,ML Engineer
5.13,3,4,7,1,9,1,6,4,Cloud Engineer
6.97,1,3,6,2,1,4,5,0,Data Scientist
8.8,9,6,8,1,9,4,20,4,ML Engineer
9.02,9,10,7,8,9,10,17,2,Web Developer
7.16,10,7,9,1,2,7,6,4,ML Engineer
9.0,10,10,8,10,10,7,2,2,ML Engineer
7.17,10,8,6,10,6,9,14,3,Web Developer
9.55,7,7,4,1,2,3,5,2,Data Scientist
7.55,2,6,4,4,4,2,8,1,Data Scientist
7.83,8,4,2,10,10,5,8,5,Cloud Engineer
7.48,2,3,8,7,5,6,1,5,Data Scientist
9.77,6,3,7,7,10,1,10,2,Cloud Engineer
8.38,2,2,7,9,10,9,6,2,Cybersecurity Analyst
9.61,1,2,2,8,5,3,16,4,Data Scientist
9.62,7,2,2,1,5,1,16,3,Data Scientist
7.55,10,1,6,5,9,10,4,1,Cybersecurity Analyst
5.43,10,6,5,1,4,1,5,3,Data Scientist
8.51,1,6,1,9,9,5,4,4,Web Developer
7.4,5,4,1,2,1,2,12,3,Data Scientist
8.99,6,1,8,1,10,5,4,1,Cloud Engineer
6.32,7,8,6,10,4,8,15,4,Web Developer
9.68,4,9,7,6,6,2,6,1,Data Scientist
9.86,10,6,3,7,5,4,18,4,Software Developer
7.57,1,2,7,4,7,2,12,1,DevOps Engineer
6.55,7,8,2,2,9,6,1,4,Cloud Engineer
6.38,1,3,8,10,8,9,1,1,Cybersecurity Analyst
5.15,3,1,4,3,3,4,5,0,Data Scientist
7.93,9,6,7,10,2,7,1,3,Web Developer
7.73,1,3,8,3,1,6,12,5,Data Scientist
6.07,9,5,7,4,8,6,13,3,Cloud Engineer
6.87,5,9,1,8,5,10,0,4,Web Developer
7.21,3,5,4,7,2,7,20,0,Data Scientist
9.59,2,7,7,6,8,5,16,3,Cloud Engineer
5.07,9,2,4,5,8,1,13,0,Cloud Engineer
7.39,10,8,3,8,9,3,13,2,Web Developer
5.79,1,3,3,7,9,7,14,5,Cloud Engineer
7.56,1,6,10,6,3,1,3,2,Data Scientist
5.42,5,4,5,2,2,10,4,3,Cybersecurity Analyst
8.41,6,5,4,3,1,5,6,3,Data Scientist
5.24,5,10,4,6,9,5,20,5,Cloud Engineer
6.07,1,9,6,2,9,1,0,0,Cloud Engineer
6.46,6,9,2,7,6,2,16,0,Mobile App Developer
5.09,6,8,6,6,8,5,4,1,Cloud Engineer
9.53,7,1,3,9,9,5,4,3,Cloud Engineer
5.57,9,4,9,2,1,8,1,2,ML Engineer
5.38,9,5,7,6,2,8,11,3,Cybersecurity Analyst
5.3,4,8,10,2,2,9,6,5,Cybersecurity Analyst
7.96,1,1,4,3,5,10,14,3,Cybersecurity Analyst
7.46,1,9,7,6,7,8,19,2,Cybersecurity Analyst
7.2,7,1,2,1,3,3,13,4,Data Scientist
7.73,7,8,1,4,4,10,7,5,Cybersecurity Analyst
7.88,1,8,2,10,9,1,14,3,Web Developer
9.21,2,5,2,1,5,3,14,5,Data Scientist
9.04,7,10,9,6,5,2,15,4,ML Engineer
6.71,5,3,3,7,7,6,13,2,DevOps Engineer
5.28,4,9,8,1,4,10,0,5,Cybersecurity Analyst
5.83,6,3,10,9,2,9,4,5,Cybersecurity Analyst
6.98,2,5,8,8,5,2,11,2,Data Scientist
6.64,10,1,6,5,4,10,0,1,Cybersecurity Analyst
9.88,3,3,10,7,7,8,2,5,Cybersecurity Analyst
7.95,5,4,4,1,8,10,15,5,Cybersecurity Analyst
7.25,4,2,9,6,3,10,10,3,Cybersecurity Analyst
6.26,1,6,2,1,2,5,20,4,Data Scientist
7.25,10,6,10,2,8,1,5,0,ML Engineer
7.51,7,3,6,3,4,2,1,5,Data Scientist
6.09,4,1,7,4,1,4,7,0,Data Scientist
7.29,2,2,4,9,2,6,9,3,Data Scientist
5.69,5,5,8,7,3,9,7,3,Cybersecurity Analyst
9.21,5,10,4,5,2,3,6,5,Data Scientist
6.82,6,5,10,3,5,5,20,3,Data Scientist
9.18,2,5,3,1,1,5,6,2,Data Scientist
5.76,8,3,7,6,4,8,5,4,Cybersecurity Analyst
6.19,2,2,2,10,8,2,14,0,Cloud Engineer
6.28,4,3,9,8,6,8,4,0,Cybersecurity Analyst
9.48,3,4,1,2,1,8,7,0,Cybersecurity Analyst
9.59,5,1,3,4,1,2,12,5,Data Scientist
7.37,4,7,9,3,1,5,7,1,Data Scientist
7.01,7,2,9,9,1,9,8,1,ML Engineer
7.48,10,1,10,2,10,3,6,0,ML Engineer
8.26,9,5,10,4,4,4,16,3,ML Engineer
8.7,10,3,3,6,7,8,16,1,Cybersecurity Analyst
7.56,4,6,2,9,1,9,0,4,Web Developer
8.35,1,5,2,7,2,2,12,2,Data Scientist
7.69,10,1,10,3,4,4,7,0,ML Engineer
7.44,1,4,2,4,7,9,17,1,Cybersecurity Analyst
7.53,8,7,5,10,5,1,10,5,Web Developer
6.31,1,2,5,4,6,2,9,3,Data Scientist
6.88,7,4,5,5,1,2,18,0,Data Scientist
7.05,9,4,3,2,4,3,10,0,Data Scientist
5.3,8,8,9,4,4,6,3,2,ML Engineer
8.17,1,2,5,7,5,8,1,0,Cybersecurity Analyst
8.51,10,5,1,6,5,9,8,0,Cybersecurity Analyst
6.66,1,4,10,1,6,1,9,0,Data Scientist
5.17,7,3,8,4,2,2,13,5,ML Engineer
8.99,3,6,4,10,4,1,16,4,Web Developer
8.55,6,3,7,10,9,7,15,0,Cloud Engineer
6.69,1,7,1,2,10,2,10,3,Cloud Engineer
7.07,1,9,8,7,3,5,16,2,Mobile App Developer
7.94,8,9,7,2,10,3,8,3,Cloud Engineer
9.77,8,5,9,4,3,9,20,1,ML Engineer
9.48,5,1,9,3,10,9,18,2,Cybersecurity Analyst
7.11,6,10,8,5,3,6,13,5,Mobile App Developer
6.97,1,6,10,4,7,2,6,4,Data Scientist
5.04,9,10,10,10,8,7,9,4,ML Engineer
8.15,7,3,9,6,7,6,0,0,ML Engineer
8.78,2,6,7,1,8,6,8,4,Cloud Engineer
9.25,10,4,4,2,7,9,5,4,Cybersecurity Analyst
5.47,10,5,3,8,9,8,1,5,Cybersecurity Analyst
5.86,2,1,10,6,1,7,4,5,Data Scientist
8.73,2,8,10,6,8,9,4,4,Cybersecurity Analyst
5.15,9,2,4,10,8,8,17,3,Cybersecurity Analyst
5.45,10,7,8,4,1,2,3,3,ML Engineer
7.85,3,5,2,3,6,7,9,3,Data Scientist
8.93,1,7,9,2,2,5,1,1,Data Scientist
9.12,4,2,8,7,8,6,12,1,Cloud Engineer
6.32,5,6,7,3,7,9,5,5,Cybersecurity Analyst
5.35,10,6,1,8,8,5,7,4,Web Developer
5.94,5,9,2,6,4,8,13,0,Cybersecurity Analyst
9.76,4,8,9,7,1,4,5,4,Data Scientist
5.34,10,4,7,7,2,8,20,0,Cybersecurity Analyst
8.33,10,8,3,2,2,6,8,2,Software Developer
6.95,7,7,7,6,9,9,10,1,Cybersecurity Analyst
8.97,7,7,9,4,1,10,18,4,ML Engineer
8.22,2,8,10,7,10,7,1,2,Cloud Engineer
9.67,1,5,4,8,1,7,20,2,Data Scientist
5.87,7,7,2,10,3,3,4,4,Web Developer
8.77,9,9,7,1,10,10,9,0,Cybersecurity Analyst
9.22,1,7,6,5,4,6,9,2,Data Scientist
7.06,9,2,2,6,4,4,8,4,Data Scientist
8.94,4,6,4,4,10,4,16,1,Cloud Engineer
6.74,1,4,1,9,9,9,6,3,Cybersecurity Analyst
5.89,2,5,9,7,10,6,20,1,Cloud Engineer
7.31,8,7,9,4,5,8,20,2,ML Engineer
7.83,6,5,1,7,6,6,16,2,Data Scientist
5.12,4,4,1,4,5,3,13,4,Data Scientist
7.62,7,8,7,10,1,2,1,0,Web Developer
6.9,3,10,5,6,3,3,12,3,Mobile App Developer
9.28,1,2,7,1,3,2,7,5,Data Scientist
9.14,9,2,9,8,6,1,6,3,ML Engineer
9.35,6,9,6,10,4,3,16,5,Web Developer
5.6,2,10,6,1,7,7,18,4,Mobile App Developer
6.91,3,2,2,8,10,7,18,4,Cloud Engineer
6.26,4,8,9,10,3,3,8,0,Web Developer
5.27,5,4,9,7,7,10,9,4,Cybersecurity Analyst
8.44,7,8,4,5,9,8,10,5,Cybersecurity Analyst
9.74,4,7,4,9,5,10,16,1,Web Developer
6.83,1,10,5,5,5,8,14,0,Cybersecurity Analyst
7.92,9,3,2,1,7,3,4,4,Data Scientist
7.07,4,1,4,10,9,7,3,2,Cloud Engineer
7.96,10,4,3,6,3,3,2,1,Data Scientist
7.21,8,10,9,10,8,3,13,0,ML Engineer
8.89,9,9,7,6,7,6,20,3,Software Developer
5.79,1,9,4,5,2,7,4,4,Data Scientist
9.79,5,7,3,2,7,7,19,1,DevOps Engineer
5.53,8,4,10,8,7,7,18,2,ML Engineer
6.77,10,7,4,6,6,8,14,2,Cybersecurity Analyst
7.33,4,9,7,7,2,5,4,0,Data Scientist
6.2,5,6,5,9,9,7,3,1,Web Developer
8.21,7,1,8,1,9,6,15,3,ML Engineer
7.47,6,9,10,10,6,6,20,1,Web Developer
9.81,6,8,1,8,1,3,5,4,Web Developer
7.03,3,9,10,9,7,4,2,5,Web Developer
7.31,6,8,8,8,5,3,13,4,Web Developer
6.96,3,1,4,4,9,8,19,4,Cybersecurity Analyst
8.85,9,10,8,9,10,5,3,5,ML Engineer
5.89,7,1,3,9,6,10,4,2,Cybersecurity Analyst
9.04,8,2,3,6,6,10,16,3,Cybersecurity Analyst
6.71,7,10,3,1,8,9,19,3,Cybersecurity Analyst
6.25,8,6,5,5,4,6,0,2,Data Scientist
7.27,8,5,2,4,10,1,16,5,Cloud Engineer
9.38,7,9,7,4,7,7,16,1,Mobile App Developer
9.4,5,6,3,9,9,4,18,0,Web Developer
8.09,3,9,2,5,5,7,2,1,Data Scientist
7.54,1,10,4,7,9,6,3,2,Cloud Engineer
6.19,2,5,7,8,5,2,8,5,Data Scientist
6.07,2,8,9,4,4,1,8,2,Data Scientist
9.65,6,6,5,1,2,8,0,4,Cybersecurity Analyst
7.52,2,6,2,2,2,2,15,3,Data Scientist
7.13,8,9,8,9,6,5,7,1,ML Engineer
7.03,6,1,1,4,8,1,2,2,Cloud Engineer
7.8,4,5,10,7,1,2,15,5,Data Scientist
7.41,10,9,6,5,6,9,16,3,Cybersecurity Analyst
5.01,8,9,3,10,3,4,7,4,Web Developer
9.9,9,7,1,3,1,10,15,5,Cybersecurity Analyst
5.12,6,10,8,4,5,1,10,5,Mobile App Developer
5.59,2,10,1,10,10,1,0,0,Web Developer
6.97,6,2,4,6,3,8,13,0,Cybersecurity Analyst
5.06,3,6,7,5,9,4,15,0,Cloud Engineer
8.34,7,8,8,8,4,4,11,2,ML Engineer
9.06,4,4,6,4,2,7,4,4,Data Scientist
7.23,1,5,1,4,6,8,9,3,Cybersecurity Analyst
5.3,2,7,3,5,5,3,10,2,Data Scientist
7.77,9,7,9,6,9,4,17,2,ML Engineer
8.25,5,7,7,5,7,9,13,2,Cybersecurity Analyst
9.83,5,6,3,9,7,4,20,0,Web Developer
9.82,1,1,8,10,8,1,19,3,Cloud Engineer
8.19,1,8,9,6,5,4,8,1,Data Scientist
5.17,6,9,2,4,2,1,8,2,Data Scientist
8.88,2,7,7,8,6,3,4,0,Web Developer
9.45,10,6,6,4,7,5,2,5,Software Developer
9.36,1,2,10,4,1,8,0,5,Cybersecurity Analyst
7.46,1,2,5,4,3,9,15,5,Cybersecurity Analyst
7.83,2,6,4,10,5,8,18,2,Web Developer
6.66,4,7,1,1,3,2,1,1,Data Scientist
5.86,2,1,5,2,7,6,1,1,Data Scientist
5.13,2,2,10,2,9,8,4,3,Cybersecurity Analyst
7.1,9,10,4,5,10,10,10,3,Cybersecurity Analyst
7.39,10,3,6,5,7,10,18,5,Cybersecurity Analyst
9.55,1,10,3,2,4,4,5,0,Data Scientist
9.01,7,1,2,8,5,1,10,3,Data Scientist
5.88,4,1,6,3,7,9,9,1,Cybersecurity Analyst
5.13,2,1,2,6,6,5,8,5,Data Scientist
6.16,4,1,7,9,9,3,12,3,Cloud Engineer
8.21,8,6,2,4,6,6,12,2,Software Developer
7.27,6,3,2,4,8,2,5,0,Cloud Engineer
7.86,2,10,6,3,2,9,1,4,Cybersecurity Analyst
5.84,8,7,8,5,10,9,5,0,ML Engineer
6.2,6,6,8,9,10,7,3,4,Web Developer
7.0,9,1,10,4,6,3,17,0,ML Engineer
6.49,7,6,5,10,9,9,6,0,Web Developer
7.69,10,6,5,9,10,7,14,2,Web Developer
8.37,9,1,8,3,1,10,11,0,ML Engineer
6.13,10,3,6,9,3,5,3,2,Data Scientist
9.62,6,5,4,8,9,10,19,4,Cybersecurity Analyst
5.99,5,7,1,6,4,4,8,1,Data Scientist
7.27,9,6,9,8,1,2,3,5,ML Engineer
8.56,8,10,9,4,2,9,20,4,ML Engineer
5.71,3,3,4,10,2,7,9,3,Data Scientist
9.77,9,7,4,4,9,3,3,2,Cloud Engineer
5.09,4,6,8,6,2,6,16,4,Data Scientist
6.16,2,7,1,7,8,8,6,1,Cybersecurity Analyst
7.7,9,3,10,2,4,3,15,1,ML Engineer
5.06,7,4,2,2,7,9,20,0,Cybersecurity Analyst
7.35,9,1,1,1,10,8,14,5,Cybersecurity Analyst
7.88,7,9,1,5,5,5,13,0,Mobile App Developer
7.98,9,4,3,4,3,5,5,2,Data Scientist
9.66,9,1,6,1,1,3,16,0,Software Developer
6.86,5,9,6,1,4,6,17,1,Mobile App Developer
6.22,2,9,9,10,4,3,14,2,Web Developer
5.71,7,4,1,7,9,8,13,4,Cybersecurity Analyst
8.12,1,3,3,4,1,2,17,3,Data Scientist
8.57,2,5,6,9,9,4,1,2,Cloud Engineer
6.46,3,4,9,8,3,6,3,2,Data Scientist
7.11,2,7,5,1,8,5,17,0,Cloud Engineer
7.78,2,3,2,9,10,4,2,2,Cloud Engineer
9.15,2,7,4,2,9,5,13,2,Cloud Engineer
8.98,10,7,8,7,5,8,18,4,ML Engineer
7.38,2,9,3,7,7,6,15,2,Mobile App Developer
5.71,6,4,10,3,2,6,2,2,Data Scientist
6.44,10,4,8,5,7,6,1,2,ML Engineer
6.56,1,5,3,8,10,7,10,3,Cloud Engineer
5.8,1,6,7,9,8,5,20,2,Web Developer
8.73,7,2,6,3,8,4,1,2,Cloud Engineer
9.23,7,4,2,8,5,3,17,3,Data Scientist
8.56,1,5,5,2,4,4,7,1,Data Scientist
8.89,2,4,2,10,6,8,4,0,Cybersecurity Analyst
9.65,9,4,7,1,4,2,20,4,Software Developer
5.45,6,4,6,6,8,9,6,5,Cybersecurity Analyst
9.25,1,1,9,2,7,5,6,5,Data Scientist
6.55,9,6,5,3,9,2,4,2,Cloud Engineer
9.75,5,1,9,1,10,1,7,5,Cloud Engineer
9.55,10,3,10,4,9,7,14,3,ML Engineer
9.91,6,8,7,4,5,6,12,0,Mobile App Developer
5.06,5,9,7,9,10,5,7,0,Web Developer
9.96,4,6,5,9,2,5,2,0,Web Developer
6.48,5,8,4,7,5,9,13,4,Cybersecurity Analyst
7.77,5,5,9,10,5,2,16,5,Data Scientist
5.6,7,3,3,5,5,6,17,5,Data Scientist
8.29,3,5,8,3,7,6,18,0,DevOps Engineer
7.14,8,1,10,9,5,8,3,1,ML Engineer
7.03,2,6,1,1,8,9,19,3,Cybersecurity Analyst
9.24,2,4,9,10,8,3,15,2,Cloud Engineer
8.79,3,2,1,6,9,10,16,2,Cybersecurity Analyst
9.06,9,9,6,4,1,3,14,3,Software Developer
8.8,6,2,8,5,1,2,17,2,Data Scientist
8.92,3,8,3,7,4,8,12,3,Cybersecurity Analyst
7.39,2,4,10,9,8,1,5,2,Cloud Engineer
8.58,4,6,8,6,3,4,16,2,Data Scientist
8.84,3,4,10,2,5,5,18,5,Data Scientist
6.9,6,6,7,4,6,10,1,1,Cybersecurity Analyst
7.34,9,10,2,8,7,6,6,2,Web Developer
8.63,10,5,5,3,5,9,13,4,Cybersecurity Analyst
7.31,3,6,7,10,1,7,9,4,Web Developer
5.65,4,7,2,5,8,1,20,1,Cloud Engineer
9.19,6,6,10,5,1,9,13,2,Cybersecurity Analyst
8.1,10,8,2,4,6,6,15,4,Software Developer
7.48,2,4,6,3,5,10,7,2,Cybersecurity Analyst
5.21,8,3,6,7,7,2,0,4,Data Scientist
5.62,2,4,4,6,9,4,20,3,Cloud Engineer
6.19,10,3,1,1,7,9,9,4,Cybersecurity Analyst
9.65,5,10,10,10,1,7,13,3,Web Developer
8.58,10,2,1,4,2,8,18,3,Cybersecurity Analyst
8.8,2,3,10,4,1,5,3,0,Data Scientist
9.09,2,4,2,8,6,3,4,0,Data Scientist
9.37,2,5,3,4,10,9,0,2,Cybersecurity Analyst
9.32,9,5,10,7,6,2,5,3,ML Engineer
7.09,9,1,8,7,4,7,9,1,ML Engineer
7.0,10,4,4,3,2,4,18,2,Data Scientist
5.66,1,1,4,6,2,1,6,3,Data Scientist
8.97,5,10,1,9,3,5,18,1,Web Developer
7.45,9,9,1,8,8,1,6,2,Web Developer
9.15,8,3,8,9,8,7,17,0,ML Engineer
7.76,5,1,8,3,9,9,2,2,Cybersecurity Analyst
5.2,4,10,5,4,8,6,2,1,Cloud Engineer
6.66,4,2,8,8,4,5,5,3,Data Scientist
5.96,8,4,9,8,2,5,6,5,ML Engineer
9.49,1,2,9,7,9,6,8,1,Cloud Engineer
9.58,3,2,10,6,7,6,17,2,DevOps Engineer
8.34,9,9,9,10,3,1,19,0,ML Engineer
9.4,5,5,2,8,1,9,19,3,Cybersecurity Analyst
8.0,5,9,4,7,6,5,8,2,Data Scientist
7.2,10,6,2,5,10,7,10,3,Cloud Engineer
7.12,1,1,8,9,10,9,2,2,Cybersecurity Analyst
6.38,4,2,10,6,7,10,13,1,Cybersecurity Analyst
7.43,4,1,2,9,9,6,17,0,Cloud Engineer
7.69,8,2,8,4,1,7,7,3,ML Engineer
5.3,5,8,2,9,7,5,8,5,Web Developer
9.03,1,9,8,4,6,1,8,2,Data Scientist
5.49,4,5,6,2,7,5,0,5,Data Scientist
7.55,7,10,8,9,4,2,15,2,ML Engineer
